game_n,winner,turn_outcome
90,1,"(1, 1, 1, 0, 0, 1, 1, 1, 2, 2, 1, 0, 0, 1, 0, 1, 2, 2, 1, 2, 0, 0, 0, 1, 2, 1, 2, 1, 1, 1, 1)"
91,0,"(1, 1, 0, 0, 1, 1, 2, 0, 1, 2, 1, 2, 2, 2, 1, 1, 1, 0, 0, 2, 1, 2, 0, 2, 1, 2, 1, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 1, 1)"
92,1,"(0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 1, 0, 2, 2, 2, 1, 2, 0, 2, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 1, 1)"
93,,"(1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1)"
94,1,"(1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 1, 2, 1, 2, 1, 2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 2, 2, 1, 0, 2, 0, 2, 0, 1, 1, 1, 0, 0, 1, 0, 2, 2, 2, 2, 0, 1)"
95,3,"(1, 1, 2, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 2, 1, 0, 1, 2, 1, 1, 1, 2, 1, 0, 1, 1, 0, 1)"
96,0,"(0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 2, 0, 2, 0, 2, 0, 1, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 2, 2, 2, 1, 0, 1, 2, 1)"
97,2,"(1, 1, 2, 1, 2, 1, 2, 1, 2, 0, 2, 1, 0, 0, 1, 1, 1, 0, 2, 0, 1, 2, 0, 2, 1, 2, 1, 1, 0, 0, 2, 0, 1, 1, 2, 1)"
98,2,"(1, 1, 2, 2, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1, 2, 1)"
99,0,"(1, 1, 0, 2, 2, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 2, 0, 2, 1, 1, 2, 2, 0, 2, 1, 2, 2, 0, 1)"
